U.S. Natural Gas Residential Consumption
https://www.eia.gov/dnav/ng/hist/n3010us2m.htm
14:14:45 GMT+0200 (czas &#347;rodkowoeuropejski letni)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Residential Consumption  Million Cubic Feet
Jun 2021,128129
May 2021,215105
Apr 2021,340762
Mar 2021,566833
Feb 2021,860364
Jan 2021,875605
Dec 2020,792881
Nov 2020,439021
Oct 2020,240412
Sep 2020,125476
Aug 2020,108838
Jul 2020,117405
Jun 2020,135813
May 2020,235016
Apr 2020,375432
Mar 2020,524858
Feb 2020,732603
Jan 2020,820510
Dec 2019,752105
Nov 2019,588674
Oct 2019,231622
Sep 2019,109775
Aug 2019,101840
Jul 2019,111629
Jun 2019,129157
May 2019,212341
Apr 2019,328421
Mar 2019,688144
Feb 2019,808724
Jan 2019,953171
Dec 2018,765580
Nov 2018,598977
Oct 2018,255318
Sep 2018,112317
Aug 2018,99781
Jul 2018,105918
Jun 2018,119244
May 2018,169019
Apr 2018,440848
Mar 2018,659389
Feb 2018,689887
Jan 2018,981276
Dec 2017,821890
Nov 2017,467729
Oct 2017,205087
Sep 2017,114508
Aug 2017,103835
Jul 2017,107443
Jun 2017,124057
May 2017,199486
Apr 2017,278972
Mar 2017,579941
Feb 2017,579458
Jan 2017,830917
Dec 2016,794164
Nov 2016,379746
Oct 2016,187385
Sep 2016,109782
Aug 2016,100455
Jul 2016,106420
Jun 2016,122640
May 2016,193922
Apr 2016,328059
Mar 2016,455001
Feb 2016,690077
Jan 2016,878936
Dec 2015,590911
Nov 2015,406610
Oct 2015,201540
Sep 2015,108491
Aug 2015,102855
Jul 2015,108160
Jun 2015,124066
May 2015,177570
Apr 2015,319285
Mar 2015,633081
Feb 2015,902364
Jan 2015,937954
Dec 2014,716907
Nov 2014,543538
Oct 2014,212079
Sep 2014,121736
Aug 2014,105187
Jul 2014,112785
Jun 2014,125596
May 2014,203456
Apr 2014,356142
Mar 2014,699921
Feb 2014,852927
Jan 2014,1037197
Dec 2013,848195
Nov 2013,517529
Oct 2013,222668
Sep 2013,117803
Aug 2013,107731
Jul 2013,111509
Jun 2013,127659
May 2013,193222
Apr 2013,366420
Mar 2013,662262
Feb 2013,750082
Jan 2013,872291
Dec 2012,670344
Nov 2012,482134
Oct 2012,240105
Sep 2012,118611
Aug 2012,105604
Jul 2012,107517
Jun 2012,123336
May 2012,163083
Apr 2012,279211
Mar 2012,403150
Feb 2012,662056
Jan 2012,794368
Dec 2011,693232
Nov 2011,434502
Oct 2011,225506
Sep 2011,122751
Aug 2011,112280
Jul 2011,114187
Jun 2011,132672
May 2011,205399
Apr 2011,340552
Mar 2011,594929
Feb 2011,767994
Jan 2011,969775
Dec 2010,847001
Nov 2010,446801
Oct 2010,201580
Sep 2010,117299
Aug 2010,107074
Jul 2010,111307
Jun 2010,134038
May 2010,197513
Apr 2010,313171
Mar 2010,579243
Feb 2010,794779
Jan 2010,932605
Dec 2009,764286
Nov 2009,376488
Oct 2009,251028
Sep 2009,119681
Aug 2009,111479
Jul 2009,118624
Jun 2009,141121
May 2009,201447
Apr 2009,390344
Mar 2009,600328
Feb 2009,756341
Jan 2009,947740
Dec 2008,771868
Nov 2008,433370
Oct 2008,218058
Sep 2008,118100
Aug 2008,111287
Jul 2008,118416
Jun 2008,144313
May 2008,230229
Apr 2008,388459
Mar 2008,656262
Feb 2008,818272
Jan 2008,883643
Dec 2007,716871
Nov 2007,405477
Oct 2007,174272
Sep 2007,116439
Aug 2007,112015
Jul 2007,117616
Jun 2007,137169
May 2007,215724
Apr 2007,407708
Mar 2007,616531
Feb 2007,899461
Jan 2007,803075
Dec 2006,623595
Nov 2006,413409
Oct 2006,240448
Sep 2006,124922
Aug 2006,108439
Jul 2006,115586
Jun 2006,141157
May 2006,203512
Apr 2006,355496
Mar 2006,625925
Feb 2006,702280
Jan 2006,713698
Dec 2005,771237
Nov 2005,387025
Oct 2005,202172
Sep 2005,118261
Aug 2005,112600
Jul 2005,122282
Jun 2005,152020
May 2005,247525
Apr 2005,384163
Mar 2005,678019
Feb 2005,759126
Jan 2005,892345
Dec 2004,725603
Nov 2004,407202
Oct 2004,216417
Sep 2004,124924
Aug 2004,119809
Jul 2004,124882
Jun 2004,144885
May 2004,213645
Apr 2004,379642
Mar 2004,591428
Feb 2004,857450
Jan 2004,962910
Dec 2003,738596
Nov 2003,413663
Oct 2003,231558
Sep 2003,128621
Aug 2003,115852
Jul 2003,126624
Jun 2003,157454
May 2003,247693
Apr 2003,414495
Mar 2003,674582
Feb 2003,884238
Jan 2003,945975
Dec 2002,771634
Nov 2002,483192
Oct 2002,250573
Sep 2002,123904
Aug 2002,115678
Jul 2002,125065
Jun 2002,159973
May 2002,255083
Apr 2002,415196
Mar 2002,660430
Feb 2002,712863
Jan 2002,815227
Dec 2001,609025
Nov 2001,360721
Oct 2001,237466
Sep 2001,127482
Aug 2001,116934
Jul 2001,123777
Jun 2001,146837
May 2001,209327
Apr 2001,400728
Mar 2001,681884
Feb 2001,780482
Jan 2001,976677
Dec 2000,914339
Nov 2000,482600
Oct 2000,235799
Sep 2000,140766
Aug 2000,122408
Jul 2000,128363
Jun 2000,154183
May 2000,228439
Apr 2000,400886
Mar 2000,550261
Feb 2000,775235
Jan 2000,862900
Dec 1999,659606
Nov 1999,371595
Oct 1999,233508
Sep 1999,134861
Aug 1999,116231
Jul 1999,126561
Jun 1999,158235
May 1999,234764
Apr 1999,420192
Mar 1999,669270
Feb 1999,689687
Jan 1999,911162
Dec 1998,615913
Nov 1998,398094
Oct 1998,202996
Sep 1998,121417
Aug 1998,116631
Jul 1998,132390
Jun 1998,152708
May 1998,220830
Apr 1998,407752
Mar 1998,647619
Feb 1998,691819
Jan 1998,812108
Dec 1997,731030
Nov 1997,497310
Oct 1997,234223
Sep 1997,129388
Aug 1997,117900
Jul 1997,127805
Jun 1997,163591
May 1997,283739
Apr 1997,433073
Mar 1997,605856
Feb 1997,757457
Jan 1997,902399
Dec 1996,737722
Nov 1996,502981
Oct 1996,243121
Sep 1996,137556
Aug 1996,118296
Jul 1996,124371
Jun 1996,162277
May 1996,271486
Apr 1996,473842
Mar 1996,705207
Feb 1996,830912
Jan 1996,933642
Dec 1995,757844
Nov 1995,488812
Oct 1995,216412
Sep 1995,133951
Aug 1995,114415
Jul 1995,130717
Jun 1995,158908
May 1995,260367
Apr 1995,418820
Mar 1995,600034
Feb 1995,754491
Jan 1995,815547
Dec 1994,638175
Nov 1994,391460
Oct 1994,220553
Sep 1994,130370
Aug 1994,121952
Jul 1994,126805
Jun 1994,154411
May 1994,246872
Apr 1994,392153
Mar 1994,630616
Feb 1994,841815
Jan 1994,952520
Dec 1993,705034
Nov 1993,457330
Oct 1993,254494
Sep 1993,141580
Aug 1993,120331
Jul 1993,129719
Jun 1993,163642
May 1993,232154
Apr 1993,449738
Mar 1993,703183
Feb 1993,768365
Jan 1993,830874
Dec 1992,717170
Nov 1992,436771
Oct 1992,240662
Sep 1992,137106
Aug 1992,125580
Jul 1992,131801
Jun 1992,162378
May 1992,251416
Apr 1992,431401
Mar 1992,573979
Feb 1992,696082
Jan 1992,785718
Dec 1991,658449
Nov 1991,459455
Oct 1991,225108
Sep 1991,137994
Aug 1991,117851
Jul 1991,126156
Jun 1991,147839
May 1991,228742
Apr 1991,372922
Mar 1991,573093
Feb 1991,664218
Jan 1991,843832
Dec 1990,630275
Nov 1990,375652
Oct 1990,213538
Sep 1990,132115
Aug 1990,121276
Jul 1990,126501
Jun 1990,160823
May 1990,248272
Apr 1990,399624
Mar 1990,551987
Feb 1990,642665
Jan 1990,788596
Dec 1989,790934
Nov 1989,405314
Oct 1989,228672
Sep 1989,139486
Aug 1989,121009
Jul 1989,128662
Jun 1989,155449
May 1989,256551
Apr 1989,414487
Mar 1989,645859
Feb 1989,743050
Jan 1989,751166
Dec 1988,631086
Nov 1988,391420
Oct 1988,232157
Sep 1988,124739
Aug 1988,114411
Jul 1988,122908
Jun 1988,152204
May 1988,257781
Apr 1988,400177
Mar 1988,596846
Feb 1988,754526
Jan 1988,852076
Dec 1987,591715
Nov 1987,354076
Oct 1987,222825
Sep 1987,126348
Aug 1987,117471
Jul 1987,125625
Jun 1987,146812
May 1987,222779
Apr 1987,401848
Mar 1987,575299
Feb 1987,688699
Jan 1987,741338
Dec 1986,599085
Nov 1986,345659
Oct 1986,185265
